ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
95,1473.0,Damnesia,American IPA,16.0,0.062,,401,Amnesia Brewing Company,Washougal,WA
96,837.0,nan,American IPA,16.0,0.062,43.0,10,nan,Grand Rapids,MI
97,2592.0,Liberty Ale,American IPA,12.0,0.059,,35,Anchor Brewing Company,San Francisco,CA
98,2578.0,IPA,,12.0,0.065,,35,Anchor Brewing Company,San Francisco,CA
99,2577.0,Summer Wheat,,12.0,0.045,,35,Anchor Brewing Company,San Francisco,CA
100,2103.0,California Lager,American Amber / Red Lager,12.0,0.049,,35,Anchor Brewing Company,San Francisco,CA
101,2102.0,Brotherhood Steam,California Common / Steam Beer,12.0,0.056,,35,nan,San Francisco,CA
102,2291.0,Blood Orange Gose,Gose,12.0,0.042,,171,Anderson Valley Brewing Company,Boonville,CA
103,1818.0,Keebarlin' Pale Ale,American Pale Ale (APA),,0.042,,171,Anderson Valley Brewing Company,Boonville,CA
104,1738.0,the Kimmie the Yink and the Holy Gose,,,0.048,,171,Anderson Valley Brewing Company,Boonville,CA
105,1563.0,Fall Hornin',Pumpkin Ale,12.0,0.06,,171,Anderson Valley Brewing Company,Boonville,CA
106,1520.0,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,,13.0,171,Anderson Valley Brewing Company,Boonville,CA
107,1350.0,Summer Solstice,Cream Ale,12.0,0.056,4.0,171,Anderson Valley Brewing Company,Boonville,CA
108,1327.0,Hop Ottin' IPA,American IPA,12.0,0.07,,171,Anderson Valley Brewing Company,Boonville,CA
109,1326.0,Boont Amber Ale,American Amber / Red Ale,12.0,0.058,15.0,171,nan,Boonville,CA
110,1221.0,Barney Flats Oatmeal Stout,Oatmeal Stout,,0.057,13.0,171,Anderson Valley Brewing Company,Boonville,CA
111,1217.0,El Steinber Dark Lager,Vienna Lager,16.0,0.055,25.0,171,nan,Boonville,CA
112,811.0,Boont Amber Ale (2010),American Amber / Red Ale,12.0,0.058,15.0,171,Anderson Valley Brewing Company,Boonville,CA
113,753.0,Summer Solstice Cerveza Crema (2009),Cream Ale,12.0,0.056,4.0,171,Anderson Valley Brewing Company,Boonville,CA
114,572.0,Barney Flats Oatmeal Stout (2012),,12.0,0.057,,171,Anderson Valley Brewing Company,Boonville,CA
115,523.0,Winter Solstice,Winter Warmer,12.0,0.069,6.0,171,Anderson Valley Brewing Company,Boonville,CA
116,,nan,American IPA,12.0,0.07,80.0,10,Anderson Valley Brewing Company,Grand Rapids,MI
117,78.0,nan,American Amber / Red Ale,12.0,0.058,15.0,10,Anderson Valley Brewing Company,Grand Rapids,MI
118,77.0,Summer Solstice (2011),,12.0,0.056,4.0,171,Anderson Valley Brewing Company,Boonville,CA
119,76.0,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),12.0,0.055,28.0,171,Anderson Valley Brewing Company,Boonville,CA
120,2337.0,nan,American IPA,16.0,0.06,,10,Angry Minnow,Grand Rapids,MI
121,410.0,River Pig Pale Ale,,,0.054,,542,Angry Minnow Brewing Company,Hayward,WI
122,409.0,Oaky's Oatmeal Stout,Oatmeal Stout,16.0,0.047,,542,Angry Minnow Brewing Company,Hayward,WI
123,1294.0,Angry Orchard Apple Ginger,Cider,16.0,0.05,,434,Angry Orchard Cider Company,Cincinnati,OH
124,1293.0,Angry Orchard Crisp Apple,Cider,16.0,0.05,,434,Angry Orchard Cider Company,Cincinnati,OH
125,1292.0,Angry Orchard Crisp Apple,Cider,12.0,0.05,,434,Angry Orchard Cider Company,Cincinnati,OH
126,,Golden One,Belgian Pale Ale,12.0,0.068,,193,Anthem Brewing Company,Oklahoma City,OK
127,2040.0,Arjuna,Witbier,,,,193,nan,Oklahoma City,OK
128,2039.0,Uroboros,American Stout,12.0,0.085,,193,Anthem Brewing Company,Oklahoma City,OK
129,2511.0,Long Leaf,American IPA,16.0,0.071,75.0,69,Appalachian Mountain Brewery,Boone,NC
130,2510.0,Honey Badger Blonde,American Blonde Ale,16.0,0.047,,69,Appalachian Mountain Brewery,Boone,NC
131,2509.0,Porter (a/k/a Black Gold Porter),American Porter,16.0,0.06,,69,Appalachian Mountain Brewery,Boone,NC
132,413.0,Sky High Rye,American Pale Ale (APA),12.0,,55.0,541,Arcadia Brewing Company,Battle Creek,MI
133,390.0,Whitsun,,12.0,0.062,17.0,541,Arcadia Brewing Company,Battle Creek,MI
134,735.0,On-On Ale (2008),American Pale Ale (APA),12.0,0.052,,nan,Arctic Craft Brewery,CO,CA
135,,Quakertown Stout,American Double / Imperial Stout,12.0,0.092,,426,Armadillo Ale Works,Denton,TX
136,,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,12.0,0.051,,426,Armadillo Ale Works,Denton,TX
137,1172.0,Mo's Gose,Gose,16.0,,10.0,461,Armstrong Brewing Company,South San Francisco,
138,1322.0,Green Bullet Organic India Pale Ale,American IPA,16.0,0.07,45.0,429,Asher Brewing Company,Boulder,CO
139,550.0,Rocket Girl,Kölsch,12.0,0.032,27.0,528,Asheville Brewing Company,Asheville,NC
140,429.0,nan,American Porter,12.0,,26.0,10,nan,Grand Rapids,MI
141,428.0,nan,,12.0,,69.0,10,Asheville Brewing Company,Grand Rapids,MI
142,1640.0,Aslan Kölsch,Kölsch,16.0,0.048,,353,Aslan Brewing Company,Bellingham,WA
143,,nan,American IPA,16.0,0.077,,10,Aslan Brewing Company,Grand Rapids,MI
144,1638.0,nan,American Amber / Red Ale,16.0,0.077,,10,Aslan Brewing Company,Grand Rapids,MI
145,597.0,This Season's Blonde,American Blonde Ale,12.0,0.056,27.0,523,Aspen Brewing Company,Aspen,CO
146,596.0,Independence Pass Ale,American IPA,12.0,0.07,67.0,523,Aspen Brewing Company,Aspen,CO
147,1580.0,Trolley Stop Stout,American Stout,,0.057,40.0,374,Astoria Brewing Company,Astoria,OR
148,980.0,Bitter Bitch Imperial IPA,American Double / Imperial IPA,12.0,0.082,,374,Astoria Brewing Company,Astoria,OR
149,979.0,Poop Deck Porter,American Porter,12.0,0.062,35.0,374,Astoria Brewing Company,Astoria,OR
150,978.0,Old Red Beard Amber Ale,American Amber / Red Ale,12.0,0.06,,374,Astoria Brewing Company,Astoria,OR
151,2503.0,Hop A-Peel,American Double / Imperial IPA,16.0,,115.0,72,Atwater Brewery,Detroit,MI
152,2502.0,Vanilla Java Porter,,16.0,,12.0,72,nan,Detroit,MI
153,,Michelada,Fruit / Vegetable Beer,16.0,,,72,nan,Detroit,MI
154,534.0,Dirty Blonde Ale,American Blonde Ale,12.0,0.045,8.0,72,Atwater Brewery,Detroit,MI
155,,Grand Circus IPA,American IPA,12.0,,,72,Atwater Brewery,Detroit,MI
156,527.0,Atwater's Lager,Munich Helles Lager,12.0,0.05,,72,Atwater Brewery,Detroit,MI
157,1409.0,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,16.0,0.07,,413,Austin Beerworks,Austin,TX
158,343.0,nan,American IPA,12.0,0.062,,10,Austin Beerworks,Grand Rapids,MI
159,,Peacemaker,American Pale Ale (APA),12.0,0.051,,413,Austin Beerworks,Austin,TX
160,341.0,nan,,12.0,0.053,,10,nan,Grand Rapids,MI
161,340.0,Black Thunder,Schwarzbier,,0.052,,413,Austin Beerworks,Austin,TX
162,2589.0,nan,American Double / Imperial IPA,,0.08,,10,nan,Grand Rapids,MI
163,2546.0,Perzik Saison,Saison / Farmhouse Ale,12.0,0.064,,37,Avery Brewing Company,Boulder,CO
164,146.0,nan,German Pilsener,12.0,0.047,42.0,10,Avery Brewing Company,Grand Rapids,MI
165,,White Rascal,Witbier,12.0,0.056,10.0,37,Avery Brewing Company,Boulder,CO
166,107.0,Avery India Pale Ale,,12.0,,69.0,37,Avery Brewing Company,Boulder,CO
167,106.0,Ellie’s Brown Ale,American Brown Ale,12.0,0.055,,37,Avery Brewing Company,Boulder,
168,1620.0,Pumpkin Beast,Pumpkin Ale,12.0,,17.0,360,Aviator Brewing Company,Fuquay-Varina,NC
169,1579.0,OktoberBeast,Märzen / Oktoberfest,12.0,,22.0,360,Aviator Brewing Company,Fuquay-Varina,NC
170,1228.0,Mad Beach,American Pale Wheat Ale,12.0,0.048,23.0,360,Aviator Brewing Company,Fuquay-Varina,NC
171,705.0,Hog Wild India Pale Ale,American IPA,12.0,0.067,,360,Aviator Brewing Company,Fuquay-Varina,NC
172,704.0,Devils Tramping Ground Tripel,Tripel,12.0,0.092,5.0,360,Aviator Brewing Company,Fuquay-Varina,NC
173,702.0,Hot Rod Red,American Amber / Red Ale,12.0,0.061,41.0,360,Aviator Brewing Company,Fuquay-Varina,NC
174,,nan,,12.0,0.086,,10,Back East Brewing Company,Grand Rapids,MI
175,1483.0,Back East Porter,American Porter,12.0,0.06,,235,Back East Brewing Company,Bloomfield,CT
176,1426.0,Back East Golden Ale,American Blonde Ale,12.0,0.049,,235,Back East Brewing Company,Bloomfield,CT
177,1132.0,Misty Mountain IPA,American IPA,12.0,0.07,,235,Back East Brewing Company,,CT
178,1131.0,nan,American Amber / Red Ale,12.0,,,10,Back East Brewing Company,Grand Rapids,MI
179,1876.0,Truck Stop Honey Brown Ale,English Brown Ale,12.0,0.06,,286,nan,Gadsden,AL
180,,nan,American Pale Ale (APA),12.0,0.06,43.0,10,nan,Grand Rapids,MI
181,966.0,Topcutter India Pale Ale,American IPA,12.0,0.068,70.0,483,Bale Breaker Brewing Company,WA,WA
182,965.0,Field 41 Pale Ale,American Pale Ale (APA),,0.044,38.0,483,Bale Breaker Brewing Company,WA,
183,2593.0,nan,American IPA,12.0,0.07,,10,Ballast Point Brewing Company,Grand Rapids,MI
184,2105.0,Even Keel,,,0.038,40.0,34,Ballast Point Brewing Company,San Diego,CA
185,,Ballast Point Pale Ale,Kölsch,,0.052,23.0,34,Ballast Point Brewing Company,San Diego,CA
186,1400.0,nan,,,0.07,75.0,10,Ballast Point Brewing Company,Grand Rapids,MI
187,1019.0,Longfin Lager,Munich Helles Lager,12.0,0.046,,34,Ballast Point Brewing Company,San Diego,CA
188,1018.0,Sculpin IPA,American IPA,12.0,0.07,70.0,34,Ballast Point Brewing Company,San Diego,CA
189,,All Nighter Ale,Extra Special / Strong Bitter (ESB),12.0,0.045,,318,nan,Williamsburg,MA
190,1644.0,Banner American Rye,Rye Beer,12.0,0.045,20.0,10,nan,Grand Rapids,MI
191,1643.0,Banner American Ale,American Amber / Red Ale,12.0,0.035,45.0,318,nan,Williamsburg,MA
192,2618.0,nan,American IPA,16.0,,,10,Bare Hands Brewery,Grand Rapids,MI
193,2005.0,Barrio Blanco,American IPA,12.0,0.06,60.0,251,nan,Tucson,AZ
194,,Barrio Tucson Blonde,American Blonde Ale,12.0,0.045,,251,Barrio Brewing Company,Tucson,AZ
195,2404.0,nan,American Pilsner,12.0,0.049,22.0,10,Base Camp Brewing Co.,Grand Rapids,MI
196,2323.0,Ultra Gnar Gnar IPA,American IPA,12.0,0.067,60.0,116,Base Camp Brewing Co.,Portland,OR
197,2189.0,In-Tents India Pale Lager,American Pale Lager,12.0,,62.0,116,Base Camp Brewing Co.,Portland,OR
198,2188.0,Lost Meridian Wit,,12.0,0.05,20.0,116,Base Camp Brewing Co.,Portland,OR
199,2187.0,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,12.0,0.051,45.0,116,Base Camp Brewing Co.,Portland,OR
200,1966.0,Wagon Party,,,,,258,nan,Minneapolis,MN
201,,Sky-Five,American IPA,12.0,,70.0,258,nan,Minneapolis,MN
202,1964.0,Stargrazer,Schwarzbier,12.0,,,258,Bauhaus Brew Labs,Minneapolis,MN
203,1963.0,Wonderstuff,German Pilsener,12.0,0.054,,258,nan,Minneapolis,MN
204,1855.0,Tarnation California-Style Lager,California Common / Steam Beer,12.0,,,292,Baxter Brewing Company,Lewiston,ME
205,1778.0,On the Count of 3 (2015),Hefeweizen,16.0,0.07,42.0,292,nan,Lewiston,ME
206,1209.0,Summer Swelter,American Pale Wheat Ale,12.0,0.047,,292,Baxter Brewing Company,Lewiston,ME
207,954.0,Phantom Punch Winter Stout,Foreign / Export Stout,12.0,,,292,nan,Lewiston,ME
208,910.0,Hayride Autumn Ale,Rye Beer,12.0,0.066,,292,Baxter Brewing Company,Lewiston,ME
209,,Celsius Summer Ale (2012),American Pale Wheat Ale,12.0,0.047,,292,Baxter Brewing Company,Lewiston,ME
210,533.0,Amber Road,American Amber / Red Ale,12.0,0.055,35.0,292,Baxter Brewing Company,Lewiston,ME
211,183.0,nan,American Pale Ale (APA),12.0,0.049,28.0,10,Baxter Brewing Company,Grand Rapids,MI
212,182.0,Stowaway IPA,American IPA,12.0,0.069,69.0,292,Baxter Brewing Company,Lewiston,ME
213,1806.0,nan,,,0.088,,10,Beach Brewing Company,Grand Rapids,MI
214,2435.0,nan,Fruit / Vegetable Beer,12.0,0.05,10.0,10,Beer Works Brewery,Grand Rapids,MI
215,2423.0,Fenway American Pale Ale,American Pale Ale (APA),12.0,0.058,45.0,103,nan,Lowell,MA
216,,Back Bay IPA,American IPA,12.0,0.068,85.0,103,Beer Works Brewery,Lowell,MA
217,,Bunker Hill Blueberry Ale,,12.0,0.048,16.0,103,Beer Works Brewery,Lowell,MA
218,,Oberon,American Pale Wheat Ale,12.0,0.058,,76,Bell's Brewery,Kalamazoo,MI
219,2325.0,nan,,16.0,0.06,,10,Bell's Brewery,Grand Rapids,MI
220,2022.0,Winter White,Witbier,16.0,0.05,,76,Bell's Brewery,Kalamazoo,MI
221,1989.0,Oberon,American Pale Wheat Ale,16.0,0.058,,76,Bell's Brewery,Kalamazoo,MI
222,1988.0,Two Hearted,American IPA,16.0,0.07,,76,Bell's Brewery,Kalamazoo,MI
223,1955.0,Best Brown,American Brown Ale,,0.058,,76,Bell's Brewery,Kalamazoo,MI
224,2558.0,Moar,,12.0,0.044,44.0,53,Bent Brewstillery,Roseville,MN
225,2557.0,Uber Lupin Schwarz IPA,American Double / Imperial IPA,16.0,0.083,,53,Bent Brewstillery,Roseville,MN
226,2556.0,Nordic Blonde,American Blonde Ale,,0.057,27.0,53,Bent Brewstillery,Roseville,MN
227,2496.0,Cold Press,American Black Ale,12.0,,,75,Bent Paddle Brewing Company,Duluth,MN
228,2410.0,Harness the Winter,American IPA,12.0,0.072,87.0,75,Bent Paddle Brewing Company,Duluth,MN
229,1902.0,14° ESB,,12.0,,32.0,75,Bent Paddle Brewing Company,Duluth,MN
230,1901.0,Bent Hop Golden IPA,American IPA,,0.062,68.0,75,Bent Paddle Brewing Company,Duluth,MN
231,1261.0,Bent Paddle Black Ale,,12.0,0.06,34.0,75,Bent Paddle Brewing Company,Duluth,MN
232,1253.0,Venture Pils,German Pilsener,12.0,0.05,38.0,75,Bent Paddle Brewing Company,Duluth,MN
233,1900.0,Lost Sailor IPA,English India Pale Ale (IPA),12.0,0.055,40.0,278,Berkshire Brewing Company,South Deerfield,MA
234,,Steel Rail Extra Pale Ale,American Pale Ale (APA),12.0,0.053,20.0,278,Berkshire Brewing Company,South Deerfield,MA
235,1158.0,La Frontera Premium IPA,American IPA,12.0,,,463,nan,Alpine,TX
236,,Tejas Lager,Czech Pilsener,12.0,0.047,,463,Big Bend Brewing Company,Alpine,TX
237,,Number 22 Porter,American Porter,12.0,0.064,,463,nan,Alpine,TX
238,1155.0,Big Bend Hefeweizen,Hefeweizen,12.0,0.056,,463,Big Bend Brewing Company,Alpine,TX
239,1154.0,nan,American Blonde Ale,12.0,0.06,,10,Big Bend Brewing Company,Grand Rapids,MI
240,2104.0,Aprè Shred,American Strong Ale,,0.081,17.0,220,Big Choice Brewing,CO,CO
241,,Hemlock Double IPA,American Double / Imperial IPA,12.0,0.095,,220,Big Choice Brewing,CO,CO
242,1422.0,West Portal Colorado Common Summer Ale,California Common / Steam Beer,16.0,0.041,,220,Big Choice Brewing,CO,CO
243,1067.0,Disconnected Red,American Amber / Red Ale,16.0,0.067,85.0,220,Big Choice Brewing,CO,CO
244,1003.0,Big Elm IPA,American IPA,12.0,0.07,,477,Big Elm Brewing,Sheffield,MA
245,1002.0,Gerry Dog Stout,American Stout,12.0,,,477,Big Elm Brewing,Sheffield,MA
246,1001.0,413 Farmhouse Ale,Saison / Farmhouse Ale,12.0,0.06,,477,Big Elm Brewing,Sheffield,MA
247,2639.0,Dark Star,American Stout,16.0,0.08,54.0,10,nan,Grand Rapids,MI
248,2469.0,Ryecoe,American IPA,16.0,0.062,,8,Big Lake Brewing,Holland,MI
249,2586.0,Blueberry Blonde,Fruit / Vegetable Beer,,,,40,Big Muddy Brewing,Murphysboro,IL
250,2585.0,Galaxy IPA,,16.0,0.075,,40,Big Muddy Brewing,Murphysboro,IL
251,643.0,Big River Pilsner,Czech Pilsener,12.0,,32.0,519,Big River Brewing Company,Chattanooga,TN
252,632.0,House Brand IPA,,12.0,,55.0,519,Big River Brewing Company,Chattanooga,TN
253,1714.0,Big Sky IPA,,12.0,0.062,65.0,336,nan,Missoula,MT
254,1713.0,Scape Goat Pale Ale,English Pale Ale,12.0,0.05,,336,nan,Missoula,MT
255,1712.0,Montana Trout Slayer Ale,American Pale Wheat Ale,,0.05,35.0,336,Big Sky Brewing Company,Missoula,MT
256,1711.0,Moose Drool Brown Ale,American Brown Ale,12.0,0.051,26.0,336,Big Sky Brewing Company,Missoula,MT
257,1456.0,Powder Hound Winter Ale,English Strong Ale,12.0,0.072,60.0,336,Big Sky Brewing Company,Missoula,MT
258,767.0,Moose Drool Brown Ale (2011),American Brown Ale,12.0,0.051,26.0,336,Big Sky Brewing Company,Missoula,MT
259,766.0,Montana Trout Slayer Ale (2012),,12.0,0.05,35.0,10,nan,Grand Rapids,MI
260,579.0,Big Sky IPA (2012),,,0.062,65.0,336,Big Sky Brewing Company,Missoula,MT
261,168.0,Summer Honey,American Blonde Ale,12.0,,,336,Big Sky Brewing Company,Missoula,MT
262,,Scape Goat Pale Ale (2010),English Pale Ale,12.0,0.05,40.0,336,Big Sky Brewing Company,Missoula,MT
